(16710, None)
(16711, 'https://www.aixploria.com/100daysofai-challenge/')
(16712, 'https://www.aixploria.com/10web/')
(16713, 'https://www.aixploria.com/1v1-meetings-for-slack/')
(16714, 'https://www.aixploria.com/2ai/')
(16715, 'https://www.aixploria.com/2d3d-video-converter/')
(16716, 'https://www.aixploria.com/2short-ai/')
(16717, 'https://www.aixploria.com/3dfy-ai/')
(16718, 'https://www.aixploria.com/4d-gaussian-splatting-ai-4dgs/')
(16719, 'https://www.aixploria.com/5-out/')
(16720, 'https://www.aixploria.com/a-million-dollar-idea/')
(16721, 'https://www.aixploria.com/a-v-mapping/')
(16722, 'https://www.aixploria.com/a1-art-apps-builder/')
(16723, 'https://www.aixploria.com/ai-ad-text-generator/')
(16724, 'https://www.aixploria.com/ai-apparel/')
(16725, 'https://www.aixploria.com/ai-article-writer-6-0-writesonic/')
(16726, 'https://www.aixploria.com/ai-assist-by-dopt/')
(16727, 'https://www.aixploria.com/ai-assist-by-equals/')
(16728, 'https://www.aixploria.com/ai-assist-by-tawk/')
(16729, 'https://www.aixploria.com/ai-avatars-by-vidyard/')
(16730, 'https://www.aixploria.com/ai-backdrop/')
(16731, 'https://www.aixploria.com/ai-bot/')
(16732, 'https://www.aixploria.com/ai-css-animation/')
(16733, 'https://www.aixploria.com/ai-campaign-assistant-hubspot/')
(16734, 'https://www.aixploria.com/ai-cards/')
(16735, 'https://www.aixploria.com/ai-career-coach/')
(16736, 'https://www.aixploria.com/ai-chat-bestie/')
(16737, 'https://www.aixploria.com/ai-chat-voice-soundhound/')
(16738, 'https://www.aixploria.com/ai-chat-travel-assistant/')
(16739, 'https://www.aixploria.com/ai-chatlab/')
(16740, 'https://www.aixploria.com/ai-chatbot-by-zapier/')
(16741, 'https://www.aixploria.com/ai-checklist-generator/|https://www.aixploria.com/ai-checklist-generator-2/')
(16742, 'https://www.aixploria.com/ai-code-converter/')
(16743, 'https://www.aixploria.com/ai-code-reviewer/')
(16744, 'https://www.aixploria.com/ai-coloring-pages-generator/')
(16745, 'https://www.aixploria.com/ai-coloringpage-online/')
(16746, 'https://www.aixploria.com/ai-comic-factory/')
(16747, 'https://www.aixploria.com/ai-cowriter/')
(16748, 'https://www.aixploria.com/ai-data-sidekick/')
(16749, 'https://www.aixploria.com/ai-dictionary-by-sider/')
(16750, 'https://www.aixploria.com/ai-dubbing-by-elevenlabs/')
(16751, 'https://www.aixploria.com/ai-dungeon/')
(16752, 'https://www.aixploria.com/ai-emoji-generator/')
(16753, 'https://www.aixploria.com/ai-emojis-generator/')
(16754, 'https://www.aixploria.com/ai-expression-editor/')
(16755, 'https://www.aixploria.com/ai-face-swap-by-vidqu/')
(16756, 'https://www.aixploria.com/ai-face-swapper/')
(16757, 'https://www.aixploria.com/ai-fashion-models-insmind/')
(16758, 'https://www.aixploria.com/ai-gallery/')
(16759, 'https://www.aixploria.com/ai-game-master/')
(16760, 'https://www.aixploria.com/ai-genius/')
(16761, 'https://www.aixploria.com/ai-gradient-generator/')
(16762, 'https://www.aixploria.com/ai-hairstyles/')
(16763, 'https://www.aixploria.com/ai-hits/')
(16764, 'https://www.aixploria.com/ai-homework-course-hero/')
(16765, 'https://www.aixploria.com/ai-jukebox/')
(16766, 'https://www.aixploria.com/ai-lab/')
(16767, 'https://www.aixploria.com/ai-lawyer/')
(16768, 'https://www.aixploria.com/ai-logo-reveals-by-mojo/')
(16769, 'https://www.aixploria.com/ai-logo-maker-by-fiverr/')
(16770, 'https://www.aixploria.com/ai-magicx/')
(16771, 'https://www.aixploria.com/ai-mailer/')
(16772, 'https://www.aixploria.com/ai-math/')
(16773, 'https://www.aixploria.com/ai-meme/')
(16774, 'https://www.aixploria.com/ai-meme-by-rusher/')
(16775, 'https://www.aixploria.com/minimax-ai-text-to-video/')
(16776, 'https://www.aixploria.com/ai-named-my-pet/')
(16777, 'https://www.aixploria.com/ai-office-bot/')
(16778, 'https://www.aixploria.com/ai-paraphrasing-tool/')
(16779, 'https://www.aixploria.com/ai-passport-photo-maker-free-online/')
(16780, 'https://www.aixploria.com/ai-pencil/')
(16781, 'https://www.aixploria.com/ai-pet-avatar/')
(16782, 'https://www.aixploria.com/ai-photo-by-hitpaw/')
(16783, 'https://www.aixploria.com/ai-photos/')
(16784, 'https://www.aixploria.com/ai-picasso/')
(16785, 'https://www.aixploria.com/ai-pickup-lines/')
(16786, 'https://www.aixploria.com/ai-playlists-by-spotify/')
(16787, 'https://www.aixploria.com/ai-portrait-generator/')
(16788, 'https://www.aixploria.com/ai-post-generator/')
(16789, 'https://www.aixploria.com/ai-product-photos/')
